NewData_1;NewData_2;NewData_3;NewData_4;NewData_5;NewData_6;NewData_7;NewData_8;NewData_9;NewData_10;NewData_11;NewData_12;NewData_13;NewData_14;NewData_15;NewData_16;NewData_17;NewData_18;NewData_19;NewData_20;NewData_21;NewData_22;NewData_23
2;4;63732483803.6545;-0.1515275;0.7635705;-1.246559;-0.9661497;-0.1469876;-0.2043866;0.05635166;2;2;72;259.7826;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483806.4787;-0.1621589;0.7654213;-1.437307;-0.9342394;-0.1476175;-0.3163435;0.07302457;0;2;73;262.607;-0.1734089;0.7685652;-1.444891;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483809.2263;0.02900777;0.765285;-1.325707;0.8995352;0.1290391;0.4095143;-0.08051892;5;2;74;265.3547;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483812.2035;-0.1710251;0.7638692;-1.336274;0.9607705;0.1470494;0.2281438;-0.0569825;1;2;75;268.3319;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483817.2855;-0.0568783;0.7638081;-1.270668;-0.932766;-0.1408394;-0.3233781;0.07442088;4;2;76;273.4144;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483820.7145;-0.16332;0.7636866;-1.180504;0.9690969;0.1526819;0.1856733;-0.05536316;3;2;77;276.8431;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483824.2001;-0.0573429;0.7637796;-1.267021;0.9323586;0.1379346;0.3263234;-0.07207461;4;2;78;280.3282;-0.08346333;0.7694253;-1.309551;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483827.3846;-0.1718198;0.764171;-1.327771;0.9531556;0.1554205;0.2517409;-0.06297006;1;2;79;283.5134;-0.1747391;0.7681575;-1.369904;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483830.3826;0.02992788;0.7655481;-1.318134;0.9085892;0.1366852;0.386467;-0.0801632;5;2;80;286.5108;-0.00144957;0.7710755;-1.35498;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483833.3263;-0.1708446;0.7637401;-1.183904;0.973298;0.1533079;0.1633331;-0.05010119;3;2;81;289.4547;-0.1773994;0.7673423;-1.21993;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
2;4;63732483836.1842;-0.1776813;0.7639815;-1.280171;0.9642497;0.1514027;0.2099809;-0.0566374;2;2;82;292.313;-0.1760693;0.76775;-1.294917;-0.171148;0.7644334;-1.567695;0.2294245;0.7713189;-1.599558
